Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
جيلاد,معناها : الولد الحلو جدا,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: الكلمة 'جيلاد' تعني ______.
الخيارات:
أ) الولد الجميل
ب) الولد الهادئ
ج) الولد القوي
د) الولد الحلو جدا",د
حازم,و هو الشخص الذي تحتزمون به او صديقكم الذي يكون معكم في المصاعب حازم محزم احتزم محزمي الخ,General,"المهمة: أكمل الجملة بكلمة مناسبة.
السؤال: إذا كنت تبحث عن صديق يكون معك في المحن، فعليك بالبحث عن شخص _____.
الخيارات:
أ) حازم
ب) متردد
ج) عاجز
د) خائف",أ
حاس,حاس (فعل): وتعني: - استغرق في البحث. - خرب ترتيب المكان. - عبث. والأسم منها حوسه,Central,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: عندما __________ في الغرفة، خرب كل شي.
الخيارات:
أ) حاز
ب) حاس
ج) حاسد
د) حاسدون",ب
حاوج,أجبر. وأغلب الوقت تستخدم مع ضمائر، لا تستخدم الكلمة منفردة. مثال: حاوجك (أجبرك)، حاوجها (أجبرا).,Western,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: أنت _______ لمواجهة هذا التحدي.
الخيارات:
أ) حاوج
ب) تحرر
ج) انسحب
د) تسامح",أ
حباقه,ولا شي اعرفه عشان كذا سالتكم,Central,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما لا أعلم شيئًا، أقول 'حباقه'. وهذا يعني __________.
الخيارات:
أ) لدي علم
ب) لا أعرف شيء
ج) أنا سعيد
د) أحب التعلم",ب
حَبْحَبْ,البطيخة الطويلة,Southern,"المهمة: إكمال الجملة بالعبارة المناسبة.
السؤال: يقول البائع: '_____ على السكين، حبحب على السكين!'
الخيارات:
أ) طماطم
ب) حبحب
ج) خيار
د) ليمون",ب
حبحر,حبحر:هو اسم لنبات وهو: الفلفل الحار,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يُستخدم _____ في إعداد الأطباق الحارة.
الخيارات:
أ) الحبحر
ب) النعناع
ج) البنفسج
د) الزعتر",أ
ابن كلب,صفة بمعنى رائع أو غير معتاد.,Central,"المهمة: أكمل الجملة التالية.
السؤال: السيارة اللي شفتها أمس، والله يا هي ________!
الخيارات:
أ) مثيرة
ب) ابن كلب
ج) عادية
د) قديمة",ب
حبرش,"الحبرشة هي عمل شيء معين بشكل متكرر وبعدة طرق أو عدة اتجاهات أو عدة أفكار للوصول لنتيجة مرضية أو هدف مطلوب أو أمر يرتجى دون خطة واضحة وبشكل عفوي غير رسمي و لا تتبع اي إطار منظم ذات نقاط واضحة. والفعل منه حبرش للماضي والأمر ويحبرش وتحبرش للمضارع، والجمع يحبرشون للذكور، ويحبرشن للإناث. -- يخلط البعض بينها وبين بربسة ومطرسة، إذ أن بربسة متعلقة بالماء واللعب فيه دون فائدة، والمطرسة متعلقة بالأكل واللعب فيه أو طبحة بشكل غير معتاد، أما الحبرشة فهي شاملة بعض الشيء وليست ذات معنى سيء وقد يخرج منها بفائدة إذ إن الحبرشة (تساوي كلمة tinkering بالانجليزية) قد تولد أفكاراً من خلال البحث والتقصي عن شيء معين تتم ""حبرشته"".",Central,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: عندما أحبرش في مشاريعي، أكون ____.
الخيارات:
أ) متعباً
ب) مرتاحاً
ج) بدون خطة
د) متقنًا",ج
حَبَش,اسم بمعنى (ذُرة).,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: في الطبخ، يُفضل استخدام _____ الطازج في الأطباق.
الخيارات:
أ) بطاطس
ب) حَبَش
ج) لحم
د) توت",ب
فياخ,فياخ بمعنى ملل,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يدرس أحمد بجد ويشعر بالملل، يقول: 'والله ______'.
الخيارات:
أ) سعيد
ب) فياخ
ج) مشغول
د) متحمس",ب
حِتْلْ,الشوائب المترسبة في أدنى إبريق الشاي ودلة القهوة,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: لا تشرب الشاهي لأن فيه _____ .
الخيارات:
أ) حتل
ب) طعم
ج) سكر
د) حليب",أ
حِثالة,أصل الكلمة من الكلمة العربية الفصيحة حُثالة أما كلمتنا هذه فتستخدم عند إنتهاء القهوة ويبقى نهايتها فقط فتقول ما فيه إلا الحثالة (أي قهوة غير صافية مختلطة بالهيل و القهوة يعني فيها حب :)),Western,"المهمة: أكمل الجملة التالية: استخدم زيد كلمة 'حِثالة' ليصف ______.
السؤال: ماذا يجب أن نضع في الفراغ؟
الخيارات:
أ) طعام
ب) قهوة غير صافية
ج) مشروب مائي
د) حلوى",ب
حجان,الحواجب (تنطق: بكسر الحاء وفتح الجيم وتشديدها),Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: الشخصية في القصيدة كانت تهتم بــ ________، أي حواجبها.
الخيارات:
أ) شعرها
ب) حجانها
ج) طلتها
د) عيونها",ب
حدّك,حَدَّك ، حده ، حد الحد هو نقطة على اقصى النطاق او في نهايته ويقال: حدك تسوي x اي انه لن تفعل اكثر من ذلك.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا كنت تشعر أنك لن تفعل أكثر من الشكوى، يمكنك أن تقول 'حدّك ______'.
الخيارات:
أ) فعلت
ب) تتشكى
ج) تتسلى
د) تلعب",ب
حذف,يعني رمى,Central,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: ________ الكيس في الزبالة.
الخيارات:
أ) أضفت
ب) حذفت
ج) احتفظت
د) أعدت",ب
حِر,الحِر : فرج المراءة وينطق كذلك الشفر,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تستخدم كلمة 'حِر' في السياق الحجازي لوصف ______.
الخيارات:
أ) منطقة جبلية
ب) فرج المرأة
ج) نبتة صحراوية
د) مشروب تقليدي",ب
حرَّاق,مفلفل، أو متبل بتوابل حارة.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: أحب أكل __________ مع الأرز.
الخيارات:
أ) حار
ب) حرَّاق
ج) بارد
د) مشوي",ب
زقاق,هوآ الممر بين مبنيآن.,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: أحياناً أجد صعوبة في السير في ______ بسبب ضيقه.
الخيارات:
أ) الزقاق
ب) الشارع
ج) الساحة
د) الطريق",أ
حربوقة,حربوقة تطلق على الفتاة النشيطة الجريئة خفيفة الظل,Western,"المهمة: أكمل الفراغ باستخدام الكلمة المناسبة.
السؤال: 'حربوقة' تطلق على الفتاة النشيطة ______.
الخيارات:
أ) الجريئة
ب) الخجولة
ج) العاصية
د) المترددة",أ
حرصة,طيش وتسرع (تنطق: احرصة ، بسكون الحاء وكسر الراء وفتح الصاد),Central,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: هو شخص __ في قراراته.
الخيارات:
أ) حكيم
ب) حرصة
ج) عاقل
د) مدبر",ب
حرمصة,حرمصة تطلق على الشخص كثير الحركة وبالذات الاطفال,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يُطلق على الأطفال كثيري الحركة _____.
الخيارات:
أ) حرمصة
ب) سكوت
ج) حزينة
د) نوم",أ
حرمصه,يقال للشخص عندما يكثر من الحركه,Western,"المهمة: إكمال الجملة بناءً على معنى الكلمة.
السؤال: عندما لا تتوقف عن الحركة نقول أنك ______.
الخيارات:
أ) متمهل
ب) حرمصه
ج) خامل
د) ساكن",ب
حره,الغيظ او الضغينه او الرغبة بالانتقام.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يحدث ظلم، يشعر الشخص ___.
الخيارات:
أ) بالراحة
ب) بالحره
ج) بالسعادة
د) بالحب
الإجابة الصحيحة:",
حريسان,ماخوذة من كلمة الحرس وهو عسكري في الحرس الوطني,General,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: يعتبر 'حريسان' من ________ في الحرس الوطني.
الخيارات:
أ) المجندين
ب) القادة
ج) الجنود
د) التكنوقراط",ج
حزازيات,حَزَازِيَّات ، حزازيّة ، اِنْحَزّت ال(نوع العلاقة). الحزازيات يقصد بها الفراغات في الترابط الاجتماعي، والتي لا تكون ظاهره ولكن محسوسة مثلا عندما تتعرف على اروع صديق لك في حياتك ثم يقوم بغدرك او بالتقليل منك ومن ثم يعتذر وانت تتقبل اعتذاره، لكنك تشعر ان العلاقة تهتكت هذا الشعور اسمه الحزازية. وهي في الاصل من كلمة فصيحة : حزّاو انحز الشيء : عني انه قُطع داخليًا دون ان ينفصلا الجُزآن (مثل اللحم التي بالرغم انها مفصولة داخلياً الا ان الجلد لم يقطع).,General,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: الحزازيات تعني ______ في الترابط الاجتماعي.
الخيارات:
أ) وضوح
ب) فراغات
ج) اجواء
د) سعادة",ب
