Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
زمن أسكت,هي عبارة سعودية حجازية تعني الدلالة على الشيء القديم أو الاثري وتطلق أيضا من باب التهكم على شيء معين كدلالة على اندثاره او تغير موضته وتعود جذور هذه العبارة إلى حقبة العشرينيات من القرن الماضي وبالتحديد بين عامي – ، حتى جاء الملك عبدالعزيز طيب الله ثراه محرراً للحجاز وتغيرت الأوضاع وعم الأمن والأمان ولله الحمد .,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'زمن أسكت' تعني شيئاً حديثاً أو عصري.
الخيارات:
أ) صحيح
ب) خطأ",ب
زنقر بعرة,الشخص الذي يحزن ويزعل على أتفه الأسباب.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'زنقر بعرة' تشير إلى شخص يسعد بسهولة.
الخيارات:
أ) صحيح
ب) خطأ",ب
جاب لي الطَّرّحرَح,سبَّب لي التعب,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (جاب لي الطَّرّحرَح) للتعبير عن الراحة والاستجمام.
الخيارات:
أ) صحيح
ب) خاطئ",ب
زي ديس البقره,يعني مافي اسهل مننو,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: العبارة 'زي ديس البقره' تعني أنه موجود صعوبة.
الخيارات:
أ) صحيح
ب) خطأ",ب
زي سلامو عليكم,يعني شخص سار يسوي حااجة مرة كتيير لدرجة انها صايرة عندو زي استخدام السلامو عليكم.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'زي سلامو عليكم' تعني أن الشخص يفعل شيء بشكل غير متكرر.
الخيارات:
أ) صحيح
ب) خطأ",ب
زين,زين تعني الشيء الجميل والحلو أو أما تكون فرحان من شيء وتبى تكمل كلامك تقولها واهو إسم إنسان,General,"المهمة: حدد صحة العبارة.
السؤال: كلمة 'زين' تعني 'شيء قبيح' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",ب
سَامِجْ,يقال فلان سامِجْ أي يحاول إضحاك الناس بطريقة سخيفة و مصدره سماجه,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: يُستخدم مصطلح 'سامِجْ' للإشارة إلى الشخص الذي يجلب السعادة.
الخيارات:
أ) صحيح
ب) خطأ",ب
أبوعرام,الصحيح انها كلمه تطلق على من زادت قوته وهي لقب ايطلق ايضا على فتوة الحاره (الحي),Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: 'أبوعرام' تستخدم للإشارة إلى الضعف.
الخيارات:
أ) صحيح
ب) خطأ",ب
سامري,يتسامرون الاحاديث,Western,"المهمة: تحديد صحة العبارة المتعلقة بكلمة 'سامري'.
السؤال: عبارة 'سامري' تعني شخص وحيد لا يتحدث مع الآخرين.
الخيارات:
أ) صحيح
ب) خطأ",ب
افرشك فرش,أضربك ضرب,Western,"المهمة: قرر إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة ""أفرشك فرش"" تُستخدم للدعاء لشخص.
الخيارات:
أ) صحيح
ب) خاطئ",ب
سبره,تمعن منزال ينزل محله.,Central,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة:
السؤال: كلمة 'سبره' تعني التعمق في التفكير.
الخيارات:
أ) صحيح
ب) خاطئ",ب
سبع ولا ضبع,يضرب هذا المثل كاستفسار لاستقبال العائد الذي ذهب لتحقيق أمرا ما,Central,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: العبارة ""سبع ولا ضبع"" تدل على الثقة وعدم المحاولة. 
الخيارات: 
A) صحيح 
B) خطأ.",B
سبعه اشتلوك,"هي دعوة يقولها الشخص عندما يسمع عبارة من شخص آخر لا تعجبه. وهي دعوة لسبعة من الجن أن ""يشيلوا"" الشخص الآخر ويخفوه. يقال بأن استخدامها فيه ""شرك خفي"". وعلى العموم لا يستحسن استدعاء الجن أو محاولة التقرب منهم وإقامة علاقة معهم :)",Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: يُستخدم تعبير 'سبعة اشتلوك' لتعزيز التواصل الإيجابي.
الخيارات:
أ) صحيح
ب) خطأ",ب
سبعي المواعين,سَبْعِي المُواعِين : اغسلي الأطباق,Central,"المهمة: حدد صحة العبارة التالية.
السؤال: 'سبعي المواعين' تعني 'اجلبي الطعام' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",ب
خِذْ وخل,تُقال لوصف كلام الشخص الذي يخلط بين الصدق والمبالغة,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُقال عبارة (خِذْ وخل) لوصف كلام كله كذب.
الخيارات:
أ) صحيح
ب) خاطئ",ب
افتلكو عقلك,اي مزقو عقلك الا و هم الجن,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'افتلكو عقلك' تعني 'تعال هنا افتلكو عقلك' وتحمل معنى جيد.
الخيارات:
أ) صحيح
ب) خطأ",ب
سرداحي مرداحي,تطلق على حدث معناه ذاهب وعائد بلا فائدة,Western,"المهمة: تقييم صحة العبارة التالية.
السؤال: عبارة 'سرداحي مرداحي' تشير إلى حدث ذو فائدة كبيرة.
الخيارات:طأ",خ
افحز لي,كلمة قصيميه افحز لي للمفرد او افحزو لي للجمع والكلمه تنطق لذكر والانثى ومعناها : ان المكان ضيق وافتح المجال لغيرك,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'افحز لي' تعني في اللهجة القصيمية 'افتح المجال لغيرك'.
الخيارات:
أ) صحيح
ب) خطأ",أ
سرديده مرديده,تطلق عندما يكثر ذهاب و اياب شخص على مكان او شيء ما وتطلق بلفظ آخر وهو سرديدي مرديدي,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تستخدم عبارة 'سرديده مرديده' للدلالة على عدم حركة الشخص.
الخيارات:
أ) صحيح
ب) خطأ",ب
سعيد قاط,يعني الشخص الملقوف اللي يتلقف,Western,"المهمة: حدد صحة العبارة التالية.
السؤال: عبارة 'سعيد قاط' تعني الشخص الحزين.
الخيارات:
أ) صح
ب) خطأ",ب
سمعني صياحك,"تعني تهديداتك لا تهمني وتستخدم للاستفزاز والبعض حتى يزيد في الاستفزاز يضيف كلمة طرب فتصبح العبارة ""صياحك طرب""",Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أو خاطئة: 'عبارة سمعني صياحك تستخدم كتعبر عن الاستفزاز.'
السؤال: هل العبارة التالية صحيحة أم خاطئة: 'عبارة سمعني صياحك تستخدم كتعبر عن الاستفزاز.'
الخيارات:
أ) صحيحة
ب) خاطئة",أ
سنة جدي,من زمان. من وقت قديم.,General,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'سنة جدي' تعني زمن حديث.
الخيارات:
أ) صحيح
ب) خطأ",ب
سهه,عبارة تعني جداً او كثيراً توضع بعد اي كلمة للتعبير عن المبالغة,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'سهه' تُستخدم للتعبير عن القلة.
الخيارات:
أ) صحيح
ب) خطأ",ب
سوكتم بوكتم,عبارة تنفال لما يكونو الناس ساكتين وما يهرجو,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'سوكتم بوكتم' تعني أن الناس يتحدثون بشكل متكرر.
الخيارات:
أ) صحيح
ب) خطأ",ب
حاشر أنفك,هو الي يتدخل في أمور لا تعنيه,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة ""حاشر أنفك"" تُقال للشخص الذي يحاول المساعدة بأدب.
الخيارات:
أ) صحيح
ب) خاطئ",ب
شتبغا ,"شتبغا عبارة عن جمع كلمتين الا و هي ""ايش"" و ""تبغا"" و تعبر عن ماذا تريد بالعربية الفصحى.",General,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'شتبغا' تعني 'أي شيء'.
الخيارات:
أ) صحيح
ب) خطأ",ب
شد الارض,اجلس,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'شد الارض' تعني 'استرح'.
الخيارات:
أ) صحيح
ب) خطأ",ب
الناس مول,مفرده حساويه وتعني الوقت متأخر,Eastern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (الناس مول) تُقال عندما يكون الوقت مبكرًا.
الخيارات:
أ) صحيح
ب) خاطئ",ب
شق جبهة,عبارة  تستخدم لوصف حالة الانتصارفلان شق جبهة فلان يعني الجمه او افحمه و انتصر عليه في النقاش ( شق الجبهة ) يوافق المعنى الفصيح يشابهه تقريبا فلان قصف جبهة فلان,Western,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: عبارة ""شق جبهة"" تستخدم للإشارة إلى الهزيمة في مناقشة. 
الخيارات: 
A) صحيح 
B) خطأ 
الشرح: لأنها تعني الانتصار وليس الهزيمة.",B
شنقل الباب,اترك الباب مفتوح قليلاً,Western,"المهمة: قم بتحديد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'شنقل الباب' تعني اغلق الباب.
الخيارات:
أ) صحيح
ب) خطأ",ب
