Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
رجعنا على طير يلي,تقال عند رجوع المخاطَب الى عادة (سلبية) قد تركها منذ فترة، بنبرة استفهامية تعجبية.,Central,"المهمة: حدد المعنى الشائع للتعبير 'رجعنا على طير يلي'.
السؤال: ما هو المعنى المقصود من عبارة 'رجعنا على طير يلي'؟
الخيارات:
أ) العودة إلى عادة جيدة
ب) العودة إلى عادة سلبية
ج) الاستعداد لمغامرة جديدة
د) الابتعاد عن الأمور العائلية",ب
أزرد ,هي كلمة قديمة من بادية الحجاز أزرد أو أزرده بمعنى أخنق أو أخنقه والمشابه لها أداة قطع الكهرباء الزرادية,Western,"المهمة: حدد معنى كلمة 'أزرد'.
السؤال: ما هو المعنى الصحيح لكلمة 'أزرد'؟
الخيارات:
أ) خنق
ب) تذوق
ج) ركض
د) جرح",أ
رحم الله والديك,رحم الله والديك : دعاء يستخدم بكثرة عند الحساوية (الاحسائين : نسبة الى الأحساء) للشخص الذي يصنع معروفا للطرف الاخر,Eastern,"المهمة: حدد المعنى الصحيح لعبارة 'رحم الله والديك'.
السؤال: ما هو معنى 'رحم الله والديك' في اللهجة السعودية؟
الخيارات:
أ) دعاء للشفاء
ب) دعاء لشكر المعروف
ج) دعاء للرزق
د) دعاء للخير",ب
رطرط في رطرط,تقال للي ماعنده سالفة,Western,"المهمة: اختر المعنى الصحيح لعبارة 'رطرط في رطرط'.
السؤال: ماذا تعني عبارة 'رطرط في رطرط'؟
الخيارات:
أ) يعني شخص حكيم
ب) يعني الشخص الذي ليس لديه سالفة
ج) يعني شخص ذو خبرة
د) يعني شخص مضحك",ب
رفقًا بهم,جملة تطلق على الاشخاص او الشخص الذي لا يفهم المصطلحات او الاحداث الرائجة بين الناس.,General,"المهمة: اختيار الخيار الصحيح.
السؤال: ما هو معنى عبارة ""رفقًا بهم""؟
الخيارات: 
A) التظاهر بالجهل 
B) الاستعطاف والرأفة 
C) الاستهزاء بالقوم 
D) توفير الدعم",B
روح رياضيه,اي متقبل ولا يزعل,General,"المهمة: حدد المعنى الصحيح للعبارة 'روح رياضيه'.
السؤال: ماذا تعني كلمة 'روح رياضيه'؟
الخيارات:
أ) حب المنافسة
ب) تقبل الأمور بهدوء
ج) عدم الالتزام
د) الحماس الزائد",ب
روّق المنجا,عبارة تقال للشخص عندما يُطلب منه الهدوء و الكف عن النرفزة.,Western,"المهمة: اختر المعنى الصحيح لعبارة 'روّق المنجا'.
السؤال: ما المقصود بعبارة 'روّق المنجا'؟
الخيارات:
أ) اطلب منه الهدوء
ب) شجعه على التحرك
ج) أظهر له السعادة
د) اطلب منه الحديث",أ
شكله زاحف,هي مرحلة متقدمة من اللا مبالاة وتصيب غالبا المراهقين,Central,"المهمة: اختر الإجابة الصحيحة فقط بدون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""شكله زاحف"" في اللهجة السعودية؟ 
الخيارات: 
A) مرحلة متقدمة من المشاركة 
B) مرحلة متقدمة من اللامبالاة 
C) مرحلة متقدمة من النشاط 
D) مرحلة متقدمة من الثقافة",B
هيا خدلك,معنى هذا الناقص ! ... وتستعمل الكلمة للإستغراب .,Western,"المهمة: حدد المعنى الصحيح لعبارة (هيا خدلك).
السؤال: ما المعنى الأقرب لعبارة (هيا خدلك)؟
الخيارات:
أ) ما هذا الناقص! / وش هالشي الغريب
ب) أحسنت
ج) الله يعطيك العافية
د) لا بأس",أ
زقت معه,زقت معه أي عصب وقفلت اخلاقه زقت معي أي عصبت,Central,"### نوع السؤال: معنى
- المهمة: اختر الإجابة الصحيحة فقط بدون أي ملاحظات إضافية.
- السؤال: ماذا يعني التعبير ""زقت معه"" في اللهجة السعودية؟
- الخيارات: 
 A) ""فقد أعصابه"" 
 B) ""ابتسم في وجهه"" 
 C) ""ذهب مع شخص آخر"" 
 D) ""شعر بالراحة"" 
-",A
وش تيد,بمعني وش تبغى,Northern,"المهمة: اختر المعنى الصحيح لعبارة المذكورة.
السؤال: ماذا تعني عبارة ""وش تِيد؟"" في اللهجة العامية؟
الخيارات:
أ) أين تذهب؟
ب) لماذا تصرخ؟
ج) ماذا تريد؟
د) من معك؟",ج
خلك رزين,دعوة للثبات والهدوء وترك الحركات الطائشة.,General,"المهمة: حدد المعنى الصحيح لعبارة (خلك رزين).
السؤال: ما المقصود بعبارة (خلك رزين)؟
الخيارات:
أ) كن متهورًا
ب) كن هادئًا ومتزنًا
ج) أسرع في التصرف
د) تجاهل الموضوع",ب
انثبر هنا ,كلمة قوية جداً وحازمة تعني اجلس هنا مكانك واسكت,Central,"المهمة: حدد المعنى الأدق لعبارة (انثبر هنا).
السؤال: ما المعنى الأقرب لعبارة (انثبر هنا)؟
الخيارات:
أ) اجلس هنا وانتبه
ب) انتظر بهدوء
ج) اجلس في مكانك ولا تتكلم
د) ابقَ قريبًا",ج
زمن أسكت,هي عبارة سعودية حجازية تعني الدلالة على الشيء القديم أو الاثري وتطلق أيضا من باب التهكم على شيء معين كدلالة على اندثاره او تغير موضته وتعود جذور هذه العبارة إلى حقبة العشرينيات من القرن الماضي وبالتحديد بين عامي – ، حتى جاء الملك عبدالعزيز طيب الله ثراه محرراً للحجاز وتغيرت الأوضاع وعم الأمن والأمان ولله الحمد .,Western,"المهمة: حدد المعنى الدقيق لعبارة 'زمن أسكت'.
السؤال: ما المقصود بعبارة 'زمن أسكت'؟
الخيارات:
أ) زمن جديد ومبتكر
ب) زمن قديم أو آثار
ج) زمن مليء بالتكنولوجيا
د) زمن الحروب",ب
زنقر بعرة,الشخص الذي يحزن ويزعل على أتفه الأسباب.,Western,"المهمة: حدد المعنى الصحيح لعبارة 'زنقر بعرة'.
السؤال: ما معنى 'زنقر بعرة'؟
الخيارات:
أ) الشخص الذي يسعد بسهولة
ب) الشخص الذي يحزن ويزعل على أتفه الأسباب
ج) الشخص الذي يحب المزاح
د) الشخص الذي يكون لطيفًا مع الجميع",ب
جاب لي الطَّرّحرَح,سبَّب لي التعب,Western,"المهمة: حدد المعنى الصحيح لعبارة (جاب لي الطَّرّحرَح).
السؤال: ما المقصود بعبارة (جاب لي الطَّرّحرَح)؟
الخيارات:
أ) سبَّب لي التعب
ب) أراحني
ج) أسعدني
د) تجاهلني",أ
زي ديس البقره,يعني مافي اسهل مننو,Western,"المهمة: اختر المعنى الصحيح للتعليق 'زي ديس البقره'.
السؤال: ما هو المعنى الصحيح لجملة 'زي ديس البقره'؟
الخيارات:
أ) يعني مافي أسهل منه
ب) يعني مافي أصعب منه
ج) يعني لا شيء
د) يعني فيه مشاكل",أ
زي سلامو عليكم,يعني شخص سار يسوي حااجة مرة كتيير لدرجة انها صايرة عندو زي استخدام السلامو عليكم.,Western,"المهمة: اختر المعنى الصحيح للعبارة 'زي سلامو عليكم'.
السؤال: ما معنى 'زي سلامو عليكم'؟
الخيارات:
أ) تستخدم في الوداع
ب) تشير إلى شخص يقوم بشيء بشكل مكرر
ج) تعني الابتسام
د) تستخدم في العزاء",ب
زين,زين تعني الشيء الجميل والحلو أو أما تكون فرحان من شيء وتبى تكمل كلامك تقولها واهو إسم إنسان,General,"المهمة: حدد المعنى الصحيح لكلمة 'زين'.
السؤال: ماذا تعني كلمة 'زين' في اللهجة السعودية؟
الخيارات:
أ) شيء قبيح
ب) شيء جميل
ج) شيء عادي
د) شيء غريب",ب
سَامِجْ,يقال فلان سامِجْ أي يحاول إضحاك الناس بطريقة سخيفة و مصدره سماجه,General,"المهمة: حدد المعنى الصحيح لكلمة 'سامِجْ'.
السؤال: ما هو معنى كلمة 'سامِجْ'؟
الخيارات:
أ) شخص يحاول إضحاك الناس بطريقة سخيفة
ب) شخص ذكي
ج) شخص واجه صعوبات
د) شخص محترم",أ
أبوعرام,الصحيح انها كلمه تطلق على من زادت قوته وهي لقب ايطلق ايضا على فتوة الحاره (الحي),Western,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""أبوعرام""؟ 
الخيارات: 
A) لقب لشخص ضعيف 
B) لقب لشخص قوي أو فتوة الحارة 
C) اسم لمدينة 
D) مصطلح علمي",B
سامري,يتسامرون الاحاديث,Western,"المهمة: تحديد المعنى الصحيح لكلمة 'سامري'.
السؤال: ماذا تعني كلمة 'سامري'؟
الخيارات:
أ) أشخاص يتسامرون ويتحدثون ويضحكون
ب) حالة من السكون
ج) نوع من الأطعمة
د) نشاط رياضي",أ
افرشك فرش,أضربك ضرب,Western,"المهمة: اختر المعنى الأكثر دقة للعبارة في السياق الحجازي.
السؤال: ماذا تعني عبارة ""أفرشك فرش"" ؟
الخيارات:
أ) أجهز لك مكان نوم
ب) أضربك ضربًا شديدًا
ج) ألبسك ملابس جديدة
د) أمدحك أمام الناس",ب
سبره,تمعن منزال ينزل محله.,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
السؤال: ما هو معنى عبارة ""سبره"" في السياق النجدي؟
الخيارات:
A) نظر بعمق 
B) حدد موقع نزول الطير 
C) سرعة الطيران 
D) نوع من الطيور",B
سبع ولا ضبع,يضرب هذا المثل كاستفسار لاستقبال العائد الذي ذهب لتحقيق أمرا ما,Central,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى العبارة ""سبع ولا ضبع""؟ 
الخيارات: 
A) تعني أن الشخص يجب أن يتحلى بالشجاعة 
B) تستخدم للاستفسار عن العائد من أمر ما 
C) تعني الاختيار بين شيئين مختلفين 
D) تشير إلى نوع من الحيوانات",B
سبعه اشتلوك,"هي دعوة يقولها الشخص عندما يسمع عبارة من شخص آخر لا تعجبه. وهي دعوة لسبعة من الجن أن ""يشيلوا"" الشخص الآخر ويخفوه. يقال بأن استخدامها فيه ""شرك خفي"". وعلى العموم لا يستحسن استدعاء الجن أو محاولة التقرب منهم وإقامة علاقة معهم :)",Southern,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما معنى عبارة 'سبعة اشتلوك'؟
الخيارات:
أ) دعوة لرحيل شخص بواسطة ملائكة
ب) دعوة لاستدعاء الجن لاخفاء شخص
ج) تعبير عن السعادة
د) نصيحة بعدم الاستماع للآخرين",ب
